rank,face,source,score,dW,dWmax,dC,dCmax,wght,stem_cap,track_em,O_cap,E_over_O,kerned_pairs
56,Source Sans 3,OFL google/fonts,0.1502,0.1137,0.2420,0.0366,0.0753,520,0.1576,-0.0072,0.8715,0.6966,3
57,Yantramanav,OFL google/fonts,0.1505,0.1099,0.3104,0.0406,0.0865,,0.1359,-0.0260,0.8031,0.8260,2
58,Anek Latin,OFL google/fonts,0.1506,0.1200,0.3221,0.0306,0.0586,478,0.1513,0.0025,0.7914,0.8057,4
59,Sarala,OFL google/fonts,0.1510,0.1119,0.2095,0.0391,0.0829,,0.1359,0.0332,0.9083,0.6720,2
60,Figtree,OFL google/fonts,0.1516,0.0890,0.2343,0.0626,0.1583,557,0.1550,-0.0521,0.9989,0.6145,0
61,Varta,OFL google/fonts,0.1526,0.1139,0.2439,0.0386,0.0884,631,0.1550,-0.0180,0.8696,0.6966,1
62,Radio Canada,OFL google/fonts,0.1535,0.1068,0.2400,0.0467,0.1082,459,0.1585,-0.0587,0.8928,0.7453,3
63,Asap,OFL google/fonts,0.1543,0.1128,0.2246,0.0415,0.0741,501,0.1552,0.0234,0.8889,0.6527,2
64,Public Sans,OFL google/fonts,0.1548,0.0751,0.2299,0.0798,0.1392,523,0.1527,-0.0280,0.8836,0.7477,5
65,Work Sans,OFL google/fonts,0.1552,0.0931,0.2703,0.0621,0.1436,477,0.1533,-0.1035,0.9397,0.7891,3
66,Amaranth,OFL google/fonts,0.1556,0.1289,0.2597,0.0267,0.0765,,0.1758,0.0646,0.8538,0.7215,4
67,Nobile,OFL google/fonts,0.1558,0.1224,0.2820,0.0334,0.0852,,0.1159,0.0379,0.8315,0.7487,0
68,Karla,OFL google/fonts,0.1562,0.0874,0.2270,0.0688,0.1431,520,0.1526,-0.0459,0.8865,0.7097,0
69,Khula,OFL google/fonts,0.1573,0.1173,0.1947,0.0400,0.1109,,0.1163,0.0282,0.9202,0.6053,0
70,Darker Grotesque,OFL google/fonts,0.1574,0.0887,0.2213,0.0687,0.1423,625,0.1549,-0.0669,0.9853,0.7258,1
71,Fira Sans,OFL google/fonts,0.1575,0.1359,0.2688,0.0215,0.0595,,0.1379,0.0456,0.8447,0.6546,5
72,Syne,OFL google/fonts,0.1577,0.1184,0.3466,0.0394,0.0712,523,0.1545,-0.1536,1.0912,0.7434,3
73,Bai Jamjuree,OFL google/fonts,0.1585,0.1132,0.2906,0.0453,0.1261,,0.1057,-0.0450,0.8229,0.8160,4
74,Verdana,system,0.1587,0.0734,0.1847,0.0854,0.1483,,0.1330,-0.0434,0.9288,0.7093,1
75,Krub,OFL google/fonts,0.1593,0.1125,0.2792,0.0468,0.0894,,0.1029,-0.0014,0.8343,0.7175,0
76,Roboto,OFL google/fonts,0.1604,0.1113,0.2966,0.0491,0.1247,449,0.1520,-0.0262,0.8169,0.7894,2
77,Vazirmatn,OFL google/fonts,0.1604,0.1113,0.2966,0.0491,0.1247,449,0.1520,-0.0262,0.8169,0.7894,2
78,Assistant,OFL google/fonts,0.1607,0.1196,0.2494,0.0412,0.0801,548,0.1445,-0.0029,0.8641,0.6948,3
79,League Spartan,OFL google/fonts,0.1610,0.0987,0.2084,0.0623,0.1281,483,0.1547,-0.0014,1.0020,0.6023,1
80,Italiana,OFL google/fonts,0.1614,0.1302,0.2278,0.0312,0.0566,,0.1186,0.0546,0.8857,0.6774,3
81,Tahoma,system,0.1618,0.0955,0.2290,0.0663,0.1207,,0.1330,0.0302,0.8845,0.7069,3
82,Rosario,OFL google/fonts,0.1660,0.1095,0.2041,0.0564,0.1181,565,0.1484,0.0575,0.9094,0.6706,2
83,Red Hat Display,OFL google/fonts,0.1662,0.1073,0.3696,0.0589,0.1004,613,0.1542,-0.0962,1.0426,0.7147,4
84,Hanken Grotesk,OFL google/fonts,0.1682,0.0919,0.2562,0.0763,0.2192,545,0.1550,-0.0347,0.9432,0.7021,4
85,Manrope,OFL google/fonts,0.1685,0.0850,0.1670,0.0835,0.1521,644,0.1549,-0.0434,0.9507,0.6753,1
86,Gadugi,system,0.1694,0.1278,0.1822,0.0416,0.0586,,0.1172,0.0317,0.9456,0.5605,0
87,Inter,OFL google/fonts,0.1703,0.0905,0.2143,0.0798,0.1721,506,0.1549,-0.0612,0.9034,0.7029,1
88,Segoe UI,system,0.1703,0.1278,0.1822,0.0425,0.0586,,0.1172,0.0366,0.9456,0.5605,3
89,Inter Tight,OFL google/fonts,0.1723,0.0882,0.2101,0.0841,0.1661,514,0.1551,-0.0165,0.9034,0.7031,0
90,Signika,OFL google/fonts,0.1744,0.1259,0.2954,0.0485,0.1368,447,0.1622,0.0170,0.8181,0.7681,3
91,Average Sans,OFL google/fonts,0.1752,0.1175,0.2131,0.0577,0.1238,,0.1245,0.0477,0.9537,0.6449,0
92,Julius Sans One,OFL google/fonts,0.1763,0.1237,0.2221,0.0526,0.0846,,0.0671,-0.0001,0.9832,0.4879,0
93,Calibri,system,0.1776,0.1350,0.2353,0.0426,0.0642,,0.1323,0.0363,0.8900,0.6223,5
94,Quattrocento Sans,OFL google/fonts,0.1777,0.1000,0.1491,0.0776,0.1353,,0.1136,0.0046,0.9758,0.5932,2
95,Chakra Petch,OFL google/fonts,0.1786,0.1371,0.3478,0.0415,0.0816,,0.1086,-0.0258,0.7657,0.8433,3
96,Bahnschrift,system,0.1792,0.1365,0.4034,0.0426,0.1239,505,0.1547,0.0059,0.7101,0.9148,3
97,Andika,OFL google/fonts,0.1811,0.1070,0.2608,0.0741,0.1339,,0.1301,-0.0113,0.8527,0.7068,0
98,Athiti,OFL google/fonts,0.1814,0.1200,0.3057,0.0613,0.1499,,0.1026,-0.0075,0.8078,0.7702,3
99,Poppins,OFL google/fonts,0.1817,0.1156,0.2162,0.0661,0.1495,,0.1306,-0.0388,1.0043,0.5357,0
100,Marcellus,OFL google/fonts,0.1828,0.1112,0.2163,0.0717,0.1082,,0.1269,0.0392,1.0370,0.5098,0
101,Anybody,OFL google/fonts,0.1861,0.1167,0.3338,0.0694,0.1685,439,0.1622,-0.0466,0.8673,0.7730,3
102,Space Grotesk,OFL google/fonts,0.1872,0.1321,0.3397,0.0551,0.1501,503,0.1551,-0.0336,0.8041,0.7923,2
103,Sarabun,OFL google/fonts,0.1876,0.1308,0.2664,0.0568,0.1237,,0.1314,0.0246,0.8471,0.7083,0
104,Marmelad,OFL google/fonts,0.1910,0.1146,0.2531,0.0764,0.1478,,0.1523,-0.0192,0.8604,0.7557,1
105,Alegreya Sans,OFL google/fonts,0.1917,0.1471,0.2399,0.0445,0.0685,,0.1167,0.0489,0.8736,0.6536,3
106,Epilogue,OFL google/fonts,0.1959,0.1437,0.2693,0.0523,0.1251,532,0.1551,0.0138,0.8442,0.6793,2
107,Lucida Sans Unicode,system,0.2033,0.1048,0.1784,0.0985,0.2074,,0.1419,0.0203,0.9351,0.6286,0
108,Trebuchet MS,system,0.2070,0.1410,0.2807,0.0660,0.1303,,0.1365,0.0367,0.8328,0.7172,0
109,Segoe UI,system,0.2073,0.1549,0.2457,0.0524,0.0838,,0.0927,0.0443,0.9407,0.5419,2
110,Urbanist,OFL google/fonts,0.2193,0.0768,0.1944,0.1425,0.2255,649,0.1612,-0.0141,0.9857,0.6329,6
111,PT Sans,OFL google/fonts,0.2202,0.1505,0.2964,0.0697,0.1596,,0.1186,0.0589,0.8171,0.6748,2
112,Gudea,OFL google/fonts,0.2262,0.1621,0.3192,0.0641,0.1360,,0.1071,0.0517,0.7943,0.6781,0
113,Barlow,OFL google/fonts,0.2409,0.1710,0.4321,0.0699,0.1990,,0.1014,-0.0153,0.6814,0.9497,3
114,Puritan,OFL google/fonts,0.2560,0.1272,0.2051,0.1288,0.2825,,0.1389,0.0492,0.9084,0.6168,0
115,Unbounded,OFL google/fonts,0.2694,0.1881,0.4886,0.0813,0.1479,371,0.1613,-0.2119,1.1401,0.7574,4
116,Antic,OFL google/fonts,0.2922,0.1737,0.2720,0.1184,0.1906,,0.0971,0.0766,0.8429,0.6508,6
117,Gruppo,OFL google/fonts,0.5115,0.2641,0.4589,0.2474,0.3289,,0.0763,-0.2353,1.3187,0.6984,2
