rank,face,source,score,dW,dWmax,dC,dCmax,wght,stem_cap,track_em,O_cap,E_over_O,kerned_pairs
54,Sarala,OFL google/fonts,0.1510,0.1119,0.2095,0.0391,0.0829,,0.1359,0.0332,0.9083,0.6720,2
55,Figtree,OFL google/fonts,0.1516,0.0890,0.2343,0.0626,0.1583,557,0.1550,-0.0521,0.9989,0.6145,0
56,Varta,OFL google/fonts,0.1526,0.1139,0.2439,0.0386,0.0884,631,0.1550,-0.0180,0.8696,0.6966,1
57,Radio Canada,OFL google/fonts,0.1535,0.1068,0.2400,0.0467,0.1082,459,0.1585,-0.0587,0.8928,0.7453,3
58,Asap,OFL google/fonts,0.1543,0.1128,0.2246,0.0415,0.0741,501,0.1552,0.0234,0.8889,0.6527,2
59,Public Sans,OFL google/fonts,0.1548,0.0751,0.2299,0.0798,0.1392,523,0.1527,-0.0280,0.8836,0.7477,5
60,Work Sans,OFL google/fonts,0.1552,0.0931,0.2703,0.0621,0.1436,477,0.1533,-0.1035,0.9397,0.7891,3
61,Amaranth,OFL google/fonts,0.1556,0.1289,0.2597,0.0267,0.0765,,0.1758,0.0646,0.8538,0.7215,4
62,Nobile,OFL google/fonts,0.1558,0.1224,0.2820,0.0334,0.0852,,0.1159,0.0379,0.8315,0.7487,0
63,Karla,OFL google/fonts,0.1562,0.0874,0.2270,0.0688,0.1431,520,0.1526,-0.0459,0.8865,0.7097,0
64,Khula,OFL google/fonts,0.1573,0.1173,0.1947,0.0400,0.1109,,0.1163,0.0282,0.9202,0.6053,0
65,Fira Sans,OFL google/fonts,0.1575,0.1359,0.2688,0.0215,0.0595,,0.1379,0.0456,0.8447,0.6546,5
66,Syne,OFL google/fonts,0.1577,0.1184,0.3466,0.0394,0.0712,523,0.1545,-0.1536,1.0912,0.7434,3
67,Bai Jamjuree,OFL google/fonts,0.1585,0.1132,0.2906,0.0453,0.1261,,0.1057,-0.0450,0.8229,0.8160,4
68,Verdana,system,0.1587,0.0734,0.1847,0.0854,0.1483,,0.1330,-0.0434,0.9288,0.7093,1
69,Krub,OFL google/fonts,0.1593,0.1125,0.2792,0.0468,0.0894,,0.1029,-0.0014,0.8343,0.7175,0
70,Roboto,OFL google/fonts,0.1604,0.1113,0.2966,0.0491,0.1247,449,0.1520,-0.0262,0.8169,0.7894,2
71,Vazirmatn,OFL google/fonts,0.1604,0.1113,0.2966,0.0491,0.1247,449,0.1520,-0.0262,0.8169,0.7894,2
72,Assistant,OFL google/fonts,0.1607,0.1196,0.2494,0.0412,0.0801,548,0.1445,-0.0029,0.8641,0.6948,3
73,League Spartan,OFL google/fonts,0.1610,0.0987,0.2084,0.0623,0.1281,483,0.1547,-0.0014,1.0020,0.6023,1
74,Italiana,OFL google/fonts,0.1614,0.1302,0.2278,0.0312,0.0566,,0.1186,0.0546,0.8857,0.6774,3
